Latinsk navn,Norsk navn,Forkortelse,Latinsk Genitiv,Hovedstjerne,Fastlagt av
Andromeda,Andromeda,And,Andromedae,Alpheratz (Sirrah),Ptolemaios
Antlia (Pneumatica)*,Luftpumpen,Ant,Antliae, ,Lacaille
Apus,Paradisfuglen,Aps,Apodis, ,Bayer
Aquarius,Vannmannen,Aqr,Aquarii,Sadalmelik,Ptolemaios
Aquila,Ørnen,Aql,Aquilae,Altair,Ptolemaios
Ara,Alteret,Ara,Arae, ,Ptolemaios
Aries,Væren,Ari,Arietis,Hamal,Ptolemaios
Auriga,Kusken,Aur,Aurigae,Capella,Ptolemaios
Bootes,Bjørnevokteren,Boo,Bootis,Arcturus,Ptolemaios
Caelum [Caela Sculptori]**,Meiselen,Cae,Caeli, ,Lacaille
Camelopardalis,Giraffen,Cam,Camelopardalis, ,Plancius
Cancer,Krepsen,Cnc,Cancri,Acubens,Ptolemaios
Canes Venatici,Jakthundene,CVn,Canum Venaticorum,Cor Caroli,Hevelius
Canis Major,Store hund,CMa,Canis Majoris,Sirius,Ptolemaios
Canis Minor,Den lille hund,CMi,Canis Minoris,Procyon,Ptolemaios
Capricornus,Steinbukken,Cap,Capricorni,Deneb Algedi,Ptolemaios
Carina,Kjølen,Car,Carinae,Canopus,Lacaille
Cassiopeia,Kassiopeia,Cas,Cassiopeiae,Schedir,Ptolemaios
Centaurus,Kentauren,Cen,Centauri,Rigil Kentaurus,Ptolemaios
Cepheus,Kefeus,Cep,Cephei,Alderamin,Ptolemaios
Cetus,Hvalfisken,Cet,Ceti,Menkar,Ptolemaios
Chamaeleon,Kameleonen,Cha,Chamaeleontis, ,Bayer
Circinus,Passeren,Cir,Circini, ,Lacaille
Columba,Duen,Col,Columbae,Phakt,Plancius
Coma Berenices,Berenikes hår,Com,Comae Berenices,Diadem,Ptolemaios
Corona Australis,Den sørlige krone,CrA,Coronae Australis,Alfecca Meridiana,Ptolemaios
Corona Borealis,Den nordlige krone,CrB,Coronae Borealis,Alphekka (Gemma),Ptolemaios
Corvus,Ravnen,Crv,Corvi,Alchiba,Ptolemaios
Crater,Begeret,Crt,Crateris,Alkes,Ptolemaios
Crux (Australis)*,Sørkorset,Cru,Crucis Australis,Acrux,Hevelius
