RANK,PROPER NAME,GREEK LETTER NAME,CLASS,DIST (LY),APP MAG,ABS MAG,RAD VEL (km/s),VEL (km/s),REMARKS,,
1,Sirius,Alpha CMa,A1V,8.6,-1.46,1.43,-8,19,White dwarf companion,,
2,Canopus,Alpha Car,F0II,309,-0.72,-5.60,21,25,X-rays from hot corona, may become neon white dwarf,
3,Rigil Kentaurus A,Alpha Cen A,G2V,4.36,-0.01,4.34,-23,33,"Companion Proxima Cen, 11.05 mag, M5.5V",,
3,Rigil Kentaurus B,Alpha Cen B,K1V,4.36,1.33,5.68,-23,33,Combined magnitude -0.29, by itself would rank 21st,
4,Arcturus,Alpha Boo,K1.5III,37,-0.04,-0.30,-5,122,High velocity,,
5,Vega,Alpha Lyr,A0V,25,0.03,0.60,-14,19,Dusty circumstellar disk,,
6,Capella,Alpha Aur,G8III+G0III,43,0.08,-0.51,30,40,"Close binary, mags. 0.76 and 0.91",,
7,Rigel,Beta Ori,B8Iab,860,0.12,-7.0,21,21,Nearby double companion, fainter one more distant,
8,Procyon,Alpha CMi,F5IV-V,11.5,0.34,2.61,-3,21,White dwarf companion,,
9,Achernar,Alpha Eri,B3Vpe,140,0.46,-2.70,16,26,"Rapid rotator, oblate",,
10,Hadar,Beta Cen,B1III,392,0.61,-4.81,6,33,Close binary twins with more distant companion, Beta Cephei variable,
11,Betelgeuse,Alpha Ori,M2Iab,570,0.7,-5.5,21,33,"Semi-regular variable, mag between 0.2 and 1.5l; distance might be high as 640 ly",,
12,Altair,Alpha Aql,A7V,16.7,0.77,2.22,-26,30,"Rapid rotator, oblate",,
13,Acrux A,Alpha Cru A,B0.5IV,325,1.3,-3.9,-11,20,"Mag uncertain, combined=0.8; by itself ranks 20th",,
13,Acrux B,Alpha Cru B,B1V,325,1.8,-3.4,-6,18,"Mag uncertain, combined=0.8; by itself ranks 30th",,
14,Aldebaran,Alpha Tau,K5III,67,0.85,-0.70,54,57,In front of Hyades,,
15,Antares,Alpha Sco,M1.5Ib,550,0.96,-5.7,-3,35,Semi-reg variable by a few tenths of a mag, 0.5 mag dust abs.,
16,Spica,Alpha Vir,B1V+B4V,250,1.04,-3.38,1,19,Close binary, 0.03 mag variation from tidal oblateness,
17,Pollux,Beta Gem,K0III,34,1.14,1.06,3,31,Nearest K giant,,
18,Fomalhaut,Alpha PsA,A3V,25,1.16,1.73,7,15,Dusty circumstellar disk and a planet,,
19,Mimosa,Beta Cru,B0.5III,280,1.25,-3.41,16,26,Beta Cep variable,,
19,Deneb,Alpha Cyg,A2Ia,1425,1.25,-7.09,-5,6,One of the brightest class A supergiants, spectrum variable,
21,Regulus,Alpha Leo,B7V,79,1.35,-0.58,6,29,Binary red dwarf companion,,
22,Adhara,Epsilon CMa,B2II,405,1.50,-4.0,27,27,Brightest star as seen in ultraviolet,,
23,Castor,Alpha Gem,A1V+A5Vm,51,1.58,0.61,6,16,"Quadruple, with binary C (M1 Ve) sextuple; A and B magnitudes 1.93, 2.97; B class A2?",,
24,Gacrux,Gamma Cru,M3.5III,88,1.63,-0.52,21,40,Mild barium star,,
25,Shaula,Lambda Sco,B1.5IV+B2,365,1.63,-3.6,-3,32,"Triple: AB abs mags -3.2, -2.5; Ab forming star; Aa Beta Cep variable",,
26,Bellatrix,Gamma Ori,B2III,245,1.64,-2.72,18,19,Slightly variable,,
27,Elnath,Beta Tau,B7III,130,1.65,-1.37,9,35,Also Gamma Aurigae,,
28,Miaplacidus,Beta Car,A2IV,111,1.68,-1.98,-5,31,"With Atria, one of two brightest near SCP",,
29,Alnilam,Epsilon Ori,B0Ia,1340,1.70,-6.6,26,26,Central Belt star,,
30,Alnitak,Zeta Ori,O9.5Ibe+B0III,815,1.74,-5.5,16,17,Eastern Belt star, visual binary,
31,Al Nair,Alpha Gru,B7IV,101,1.74,-0.72,12,31,Rapid rotator,,
32,Alioth,Epsilon UMa,A0p,81,1.77,-0.21,-9.3,16,Alpha-2 CVn magnetic star, Big Dipper, UMa cluster
33,Regor,Gamma-2 Vel,WC8+O7.5e,1200,1.78,-6.3,35,40,"Wolf-Rayet, close binary; 0.3 mag dust absorption",,
34,Dubhe,Alpha UMa,K0III,124,1.79,-1.10,-9,27,F0V companion, Big Dipper, UMa cluster
35,Mirfak,Alpha Per,F5Iab,590,1.79,-4.5,-2,31,Alpha Persei cluster,,
36,Wezen,Delta CMa,F8Iab,1800,1.84,-6.9,34,36,Rare yellow supergiant,,
37,Kaus Australis,Epsilon Sgr,B9.5III,143,1.85,-1.38,-15,31,Possible circumstellar shell,,
38,Alkaid,Eta UMa,B3V,101,1.86,-0.59,-11,21,Big Dipper,,
39,Avior,Epsilon Car,K3III+B2V,630,1.86,-4.6,12,34,Unresolved binary, False Cross,
40,Girtab,Theta Sco,F1II,272,1.87,-2.73,1,3,Scorpius's southern limit,,
41,Menkalinan,Beta Aur,A2IV,82,1.90,-0.10,-18,19,Eclipsing binary (partial),,
42,Atria,Alpha TrA,K3II-III,415,1.92,-3.61,-3,23,"Hybrid star; barium star; with Miaplacidus, one of two bright stars near SCP",,
43,Alhena,Gamma Gem,A0IV,105,1.93,-0.60,-12,16,Close binary,,
44,Peacock,Alpha Pav,B2IV,183,1.94,-1.81,2,23,Close binary,,
45,Delta Vel,Delta Vel,A1V,80,1.96,0.02,2,13,Multiple star, S. pole star in 9000 AD, False Cross
46,Mirzam,Beta CMa,B1II-III,500,1.98,-3.94,34,34,Beta Cep variable,,
47,Alphard,Alpha Hya,K3II-III,177,1.98,-1.70,-4,10,Barium star,,
48,Algieba,Gamma Leo,K1III+G7III,131,1.99,...,-37,74,"Double, A and B mags 2.29, 3.55, uncertain; abs mags -0.72, 0.54; high velocity",,
49,Hamal,Alpha Ari,K2III,66,2.00,0.47,-14,27,Somewhat low in metals,,
50,Polaris,Alpha UMi,F7Ib-II,430,2.02,-3.58,-17,33,"N. pole star; Cepheid variable; triple, F7 dwarf close, F3 distant",,
51,Nunki,Sigma Sgr,B2.5V,225,2.02,-2.17,-11,21,Little Milk Dipper, Polaris probably a bit brighter,
52,Deneb Kaitos,Beta Cet,K0III,96,2.04,-0.30,13,35,Bright X-ray source,,
53,Saiph,Kappa Ori,B0.5Ia,720,2.06,-4.79,21,21,Oddly low carbon,,
54,Alpheratz,Alpha And,B8IVp,97,2.06,-0.31,-12,30,Mercury-manganese star, spect binary,
55,Mizar,Zeta UMa,A2Vp+A7Vm,78,2.06,...,-7,16,"Double, A and B mags 2.27, 3.95; abs mags 0.37, 2.05; each again double; with Alcor, sextuple; peculiar abundances; Big Dipper; UMa cluster",,
56,Menkent,Theta Cen,K0III,61,2.06,0.70,1.3,65,Like Pollux, high velocity,
57,Mirach,Beta And,M0III,200,2.06,-1.87,0.3,60,High velocity, distant faint companion,
58,Rasalhague,Alpha Oph,A5III,47,2.08,1.30,13,21,Faint close companion,,
59,Kochab,Beta UMi,K4III,126,2.08,-0.86,17,18,"With Pherkad, a Guardian of the Pole; marginal barium star",,
60,Beta Gru,Beta Gru,M5III,170,2.10,-1.49,1.6,34,Irregular variable,,
61,Algol,Beta Per,B8V,93,2.12,-0.15,4,4,Classic eclipsing binary,,
